Product ID,Name,Data Access URL,Manual URL (unstable),Dataset ID(s),Variables,time resolution,start time,lon min,lon max,lat min,lat max,Domain
INSITU_GLO_PHY_UV_DISCRETE_MY_013_044,Global Ocean-Delayed Mode in-situ Observations of surface (drifters and HFR) and sub-surface (vessel-mounted ADCPs) water velocity,https://data.marine.copernicus.eu/product/INSITU_GLO_PHY_UV_DISCRETE_MY_013_044/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-013-044.pdf,"cmems_obs-ins_glo_phy-cur_my_adcp_irr
cmems_obs-ins_glo_phy-cur_my_argo_irr
cmems_obs-ins_glo_phy-cur_my_drifter_PT6H
cmems_obs-ins_glo_phy-cur_my_radar-radial_irr
cmems_obs-ins_glo_phy-cur_my_radar-total_irr",all,0,1993,-28.0,-12.0,8.0,20.0,"Physics, Biology"
INSITU_GLO_PHY_UV_DISCRETE_NRT_013_048,Global Ocean- in-situ Near real time observations of ocean currents,https://data.marine.copernicus.eu/product/INSITU_GLO_PHY_UV_DISCRETE_NRT_013_048/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-013-048.pdf,"cmems_obs-ins_glo_phy-cur_nrt_argo_irr
cmems_obs-ins_glo_phy-cur_nrt_drifter_irr
cmems_obs-ins_glo_phy-cur_nrt_drifter_irr
cmems_obs-ins_glo_phy-cur_nrt_drifter_irr
cmems_obs-ins_glo_phy-cur_nrt_radar-radial_irr
cmems_obs-ins_glo_phy-cur_nrt_radar-radial_irr
cmems_obs-ins_glo_phy-cur_nrt_radar-radial_irr
cmems_obs-ins_glo_phy-cur_nrt_radar-total_irr
cmems_obs-ins_glo_phy-cur_nrt_radar-total_irr
cmems_obs-ins_glo_phy-cur_nrt_radar-total_irr",all,"0, 1H",1993,-28.0,-12.0,8.0,20.0,Physics
SST_ATL_PHY_L3S_NRT_010_037,European North West Shelf/Iberia Biscay Irish Seas – High Resolution ODYSSEA Sea Surface Temperature Multi-sensor L3 Observations,https://data.marine.copernicus.eu/product/SST_ATL_PHY_L3S_NRT_010_037/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-010-037.pdf,cmems_obs-sst_atl_phy_nrt_l3s_P1D-m,all,1D,2020,-24.0,16.0,6.0,65.0,Physics
SST_GLO_SST_L3S_NRT_OBSERVATIONS_010_010,ODYSSEA Global Ocean - Sea Surface Temperature Multi-sensor L3 Observations,https://data.marine.copernicus.eu/product/SST_GLO_SST_L3S_NRT_OBSERVATIONS_010_010/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-010-010.pdf,"IFREMER-GLOB-SST-L3-NRT-OBS_FULL_TIME_SERIE
cmems_obs-sst_glo_phy_l3s_gir_P1D-m 
cmems_obs-sst_glo_phy_l3s_pir_P1D-m 
cmems_obs-sst_glo_phy_l3s_pmw_P1D-m",all,1D,2020,-28.0,-12.0,8.0,20.0,Physics
SST_GLO_PHY_L4_NRT_010_043,ODYSSEA Global Sea Surface Temperature Gridded Level 4 Daily Multi-Sensor Observations,https://data.marine.copernicus.eu/product/SST_GLO_PHY_L4_NRT_010_043/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-010-043.pdf,cmems_obs-sst_glo_phy_nrt_l4_P1D-m,all,1D,2021,,,,,Physics
SST_GLO_SST_L4_NRT_OBSERVATIONS_010_001,Global Ocean OSTIA Sea Surface Temperature and Sea Ice Analysis,https://data.marine.copernicus.eu/product/SST_GLO_SST_L4_NRT_OBSERVATIONS_010_001/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-010-001.pdf,METOFFICE-GLO-SST-L4-NRT-OBS-SST-V2,all,1D,2007,-28.0,-12.0,8.0,20.0,Physics
GLOBAL_ANALYSISFORECAST_BGC_001_028,Global Ocean Biogeochemistry Analysis and Forecast,https://data.marine.copernicus.eu/product/GLOBAL_ANALYSISFORECAST_BGC_001_028/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-001-028.pdf,"cmems_mod_glo_bgc-bio_anfc_0.25deg_P1D-m 
cmems_mod_glo_bgc-car_anfc_0.25deg_P1D-m 
cmems_mod_glo_bgc-co2_anfc_0.25deg_P1D-m
cmems_mod_glo_bgc-nut_anfc_0.25deg_P1D-m 
cmems_mod_glo_bgc-optics_anfc_0.25deg_P1D-m
cmems_mod_glo_bgc-pft_anfc_0.25deg_P1D-m ",all,1D,2021,,,,,Biology
GLOBAL_ANALYSISFORECAST_BGC_001_028,Global Ocean Biogeochemistry Analysis and Forecast,https://data.marine.copernicus.eu/product/GLOBAL_ANALYSISFORECAST_BGC_001_028/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-001-028.pdf,cmems_mod_glo_bgc_anfc_0.25deg_static,all,-,-,,,,,Biology
GLOBAL_ANALYSISFORECAST_BGC_001_028,Global Ocean Biogeochemistry Analysis and Forecast,https://data.marine.copernicus.eu/product/GLOBAL_ANALYSISFORECAST_BGC_001_028/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-001-028.pdf,"cmems_mod_glo_bgc-bio_anfc_0.25deg_P1M-m 
cmems_mod_glo_bgc-car_anfc_0.25deg_P1M-m 
cmems_mod_glo_bgc-co2_anfc_0.25deg_P1M-m 
cmems_mod_glo_bgc-nut_anfc_0.25deg_P1M-m 
cmems_mod_glo_bgc-optics_anfc_0.25deg_P1M-m 
cmems_mod_glo_bgc-pft_anfc_0.25deg_P1M-m ",all,1M,2021,,,,,Biology
GLOBAL_MULTIYEAR_BGC_001_029,Global Ocean Biogeochemistry Hindcast,https://data.marine.copernicus.eu/product/GLOBAL_MULTIYEAR_BGC_001_029/services,https://catalogue.marine.copernicus.eu/documents/PUM/CMEMS-GLO-PUM-001-029.pdf,cmems_mod_glo_bgc_my_0.25_static,all,-,-,-28.0,-12.0,8.0,20.0,Biology
